Term Code,College Code,Department Code,CRN,Campus Code,Subject Code,Course Number,Section Number,Section Title,Instructor 1 ID,Instructor 1 First Name,Instructor 1 Last Name,Question Number,Question,Mean,Median,Standard Deviation,Department Mean,Department Median,Similar College Mean,Similar College Median,College Mean,College Median,Percent Rank - Department,Percent Rank - College,Responses,Percent #1,Percent #2,Percent #3,Percent #4,Percent #5,ZScore - College,ZScore - College Similar Sections,Course Level,Section Size
201720,EN,EN00,35802,N,DSA,5011,995,Introduction to R,112979983,Wayne,Stewart,3,Class time was well used and contributed to my learning of the material.,4.30769,5,0.94733,3.82818,4,4.05369,4,4.05369,4,54.902,46.372,13,0,7.69231,7.69231,30.76923,53.84615,0.21948,0.21948,All,All
201720,EN,EN00,35802,N,DSA,5011,995,Introduction to R,112979983,Wayne,Stewart,5,The instructor related course material to professional practice and/or research.,4.16667,4.5,1.19342,4.18807,5,4.28105,5,4.28105,5,35.294,25.552,12,8.33333,0,8.33333,33.33333,50,-0.11641,-0.11641,All,All
201720,EN,EN00,35802,N,DSA,5011,995,Introduction to R,112979983,Wayne,Stewart,6,The way in which the course was taught helped me develop analysis and design abilities.,4.15385,5,0.9871,3.68197,4,4.01325,4,4.01325,4,56.863,38.17,13,0,7.69231,15.38462,30.76923,46.15385,0.11981,0.11981,All,All
201720,EN,EN00,35802,N,DSA,5011,995,Introduction to R,112979983,Wayne,Stewart,10,"In general, the instructor taught this course effectively.",4.30769,5,1.1094,3.96682,4,4.1441,5,4.1441,5,41.176,38.17,13,7.69231,0,0,38.46154,53.84615,0.14595,0.14595,All,All
201720,EN,EN00,35994,N,DSA,5011,996,Introduction to R,112979983,Wayne,Stewart,2,The instructor was well-organized and made adequate preparation for class.,4.66667,5,0.57735,4.13356,5,4.24749,5,4.24749,5,72.549,66.877,3,0,0,0,33.33333,66.66667,0.40826,0.40826,All,All
201720,EN,EN00,35994,N,DSA,5011,996,Introduction to R,112979983,Wayne,Stewart,3,Class time was well used and contributed to my learning of the material.,4.33333,5,0.57735,3.82818,4,4.05369,4,4.05369,4,60.784,48.58,3,0,0,0,66.66667,33.33333,0.24164,0.24164,All,All
201720,EN,EN00,35994,N,DSA,5011,996,Introduction to R,112979983,Wayne,Stewart,5,The instructor related course material to professional practice and/or research.,4,5,1,4.18807,5,4.28105,5,4.28105,5,31.373,21.451,3,0,0,33.33333,33.33333,33.33333,-0.28604,-0.28604,All,All
201720,EN,EN00,35994,N,DSA,5011,996,Introduction to R,112979983,Wayne,Stewart,6,The way in which the course was taught helped me develop analysis and design abilities.,4,5,1,3.68197,4,4.01325,4,4.01325,4,49.02,32.177,3,0,0,33.33333,33.33333,33.33333,-0.01129,-0.01129,All,All
201720,EN,EN00,35994,N,DSA,5011,996,Introduction to R,112979983,Wayne,Stewart,10,"In general, the instructor taught this course effectively.",4.66667,5,0.57735,3.96682,4,4.1441,5,4.1441,5,76.471,69.716,3,0,0,0,33.33333,66.66667,0.46623,0.46623,All,All
201720,EN,EN00,35128,N,DSA,5113,001,Analytics & Metaheuristics,112998038,Charles,Nicholson,2,The instructor was well-organized and made adequate preparation for class.,4.64,5,0.4899,4.13356,5,4.24749,5,4.24749,5,62.745,61.514,25,0,0,0,36,64,0.38228,0.38228,All,All
